serial_no,candidate_or_party,election_name,declaration_id,transaction_date,category,donor_or_recipient,id_number,income_amount,expenditure_amount,donation_method,deposit_date,returned_or_paid_to_treasury,purpose,money_type,address,phone_number,disclosed_recipient,recipient_staff_name,recipient_staff_title,party_staff_name,party_staff_title,relationship,correction_note,correction_date
17,賴清德,113年總統、副總統選舉,首次申報,1120524,雜支支出,國泰商旅股份有限公司,54180916,0.00,1353.00,,,,餐飲費用,金錢,,,否,,,,,,,
18,賴清德,113年總統、副總統選舉,首次申報,1120525,宣傳支出,晶典廣告社,10880948,0.00,4158.00,,,,製作宣傳廣告費用,金錢,臺南市北區大****,,否,,,,,,,
19,賴清德,113年總統、副總統選舉,首次申報,1120525,雜支支出,洋美環境維護股份有限公司,12895192,0.00,30450.00,,,,月清潔服務費,金錢,台北市八德路****,02-2*****,否,,,,,,,
20,賴清德,113年總統、副總統選舉,首次申報,1120525,雜支支出,洋美環境維護股份有限公司,12895192,0.00,34550.00,,,,清潔服務費(/細清),金錢,台北市八德路****,02-2*****,否,,,,,,,
21,賴清德,113年總統、副總統選舉,首次申報,1120525,雜支支出,洋美環境維護股份有限公司,12895192,0.00,5775.00,,,,清潔服務費(/-/),金錢,台北市八德路****,,否,,,,,,,
22,賴清德,113年總統、副總統選舉,首次申報,1120525,雜支支出,洋美環境維護股份有限公司,12895192,0.00,43050.00,,,,清潔服務費(/細清),金錢,台北市八德路****,02-2*****,否,,,,,,,
23,賴清德,113年總統、副總統選舉,首次申報,1120526,雜支支出,中華郵政股份有限公司,03741302,0.00,80.00,,,,匯費,金錢,臺北市大安區****,,否,,,,,,,
24,賴清德,113年總統、副總統選舉,首次申報,1120526,宣傳支出,晶典廣告社,10880948,0.00,8316.00,,,,製作宣傳廣告費用,金錢,臺南市北區大****,,否,,,,,,,
25,賴清德,113年總統、副總統選舉,首次申報,1120526,雜支支出,洋美環境維護股份有限公司,12895192,0.00,7000.00,,,,清潔用品,金錢,台北市八德路****,,否,,,,,,,
26,賴清德,113年總統、副總統選舉,首次申報,1120526,交通旅運支出,台灣高鐵,16446274,0.00,930.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
27,賴清德,113年總統、副總統選舉,首次申報,1120527,交通旅運支出,計程車,,0.00,365.00,,,,車資,金錢,,02-2*****,否,,,,,,,
28,賴清德,113年總統、副總統選舉,首次申報,1120527,交通旅運支出,計程車,,0.00,165.00,,,,車資,金錢,,02-2*****,否,,,,,,,
29,賴清德,113年總統、副總統選舉,首次申報,1120527,交通旅運支出,台灣高鐵,16446274,0.00,280.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
30,賴清德,113年總統、副總統選舉,首次申報,1120527,交通旅運支出,台灣高鐵,16446274,0.00,280.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
31,賴清德,113年總統、副總統選舉,首次申報,1120527,交通旅運支出,台灣高鐵,16446274,0.00,940.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
32,賴清德,113年總統、副總統選舉,首次申報,1120527,交通旅運支出,台灣高鐵,16446274,0.00,930.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
33,賴清德,113年總統、副總統選舉,首次申報,1120527,交通旅運支出,台灣高鐵,16446274,0.00,1660.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
34,賴清德,113年總統、副總統選舉,首次申報,1120529,交通旅運支出,計程車,,0.00,235.00,,,,車資,金錢,,02-2*****,否,,,,,,,
35,賴清德,113年總統、副總統選舉,首次申報,1120529,雜支支出,壹茶飲料店,25593472,0.00,35.00,,,,餐飲費用,金錢,,,否,,,,,,,
36,賴清德,113年總統、副總統選舉,首次申報,1120529,雜支支出,壹茶飲料店,25593472,0.00,958.00,,,,餐飲費用,金錢,,,否,,,,,,,
37,賴清德,113年總統、副總統選舉,首次申報,1120529,雜支支出,黑滷商行,29228912,0.00,2270.00,,,,餐飲費用,金錢,,,否,,,,,,,
38,賴清德,113年總統、副總統選舉,首次申報,1120530,交通旅運支出,計程車,,0.00,100.00,,,,車資,金錢,,02-2*****,否,,,,,,,
39,賴清德,113年總統、副總統選舉,首次申報,1120530,交通旅運支出,計程車,,0.00,235.00,,,,車資,金錢,,02-2*****,否,,,,,,,
40,賴清德,113年總統、副總統選舉,首次申報,1120530,交通旅運支出,計程車,,0.00,260.00,,,,車資,金錢,,02-2*****,否,,,,,,,
41,賴清德,113年總統、副總統選舉,首次申報,1120530,交通旅運支出,計程車,,0.00,170.00,,,,車資,金錢,,02-2*****,否,,,,,,,
42,賴清德,113年總統、副總統選舉,首次申報,1120530,交通旅運支出,立榮航空股份有限公司,22958771,0.00,2493.00,,,,搭乘交通工具費用,金錢,臺北市中山區****,,否,,,,,,,
43,賴清德,113年總統、副總統選舉,首次申報,1120530,交通旅運支出,立榮航空股份有限公司,22958771,0.00,2618.00,,,,搭乘交通工具費用,金錢,臺北市中山區****,,否,,,,,,,
44,賴清德,113年總統、副總統選舉,首次申報,1120530,雜支支出,凱旋興業有限公司,50892272,0.00,30450.00,,,,其他費用,金錢,台北市中山區****,02-2*****,否,,,,,,,
45,賴清德,113年總統、副總統選舉,首次申報,1120531,宣傳支出,晶典廣告社,10880948,0.00,3960.00,,,,製作宣傳廣告費用,金錢,臺南市北區大****,,否,,,,,,,
46,賴清德,113年總統、副總統選舉,首次申報,1120531,租用競選辦事處支出,僑巨資訊企業股份有限公司,12217932,0.00,24727.00,,,,租買辦公設備費用,金錢,臺北市新生北****,,否,,,,,,,
47,賴清德,113年總統、副總統選舉,首次申報,1120531,雜支支出,春申匯集有限公司,50759197,0.00,15708.00,,,,餐飲費用,金錢,,,否,,,,,,,
48,賴清德,113年總統、副總統選舉,首次申報,1120531,雜支支出,和園小吃店,81766594,0.00,100.00,,,,餐飲費用,金錢,,,否,,,,,,,
49,賴清德,113年總統、副總統選舉,首次申報,1120601,宣傳支出,永新彩藝藝術團,,0.00,18000.00,,,,其他與集會有關之費用,金錢,,0932*****,否,,,,,,,
50,賴清德,113年總統、副總統選舉,首次申報,1120601,集會支出,天仲行,06532285,0.00,4800.00,,,,租用設備費用,金錢,,,否,,,,,,,
51,賴清德,113年總統、副總統選舉,首次申報,1120601,集會支出,國藝企業社,09015010,0.00,40000.00,,,,租用設備費用,金錢,臺南市中西區****,0910*****,否,,,,,,,
52,賴清德,113年總統、副總統選舉,首次申報,1120601,雜支支出,壹茶飲料店,25593472,0.00,472.00,,,,餐飲費用,金錢,,,否,,,,,,,
53,賴清德,113年總統、副總統選舉,首次申報,1120601,宣傳支出,李明遂工作室,26428417,0.00,23100.00,,,,文宣設計,金錢,台南市中西區****,,否,,,,,,,
54,賴清德,113年總統、副總統選舉,首次申報,1120601,宣傳支出,巨勳廣告工程有限公司,27397715,0.00,2550000.00,,,,製作宣傳廣告費用,金錢,新北市板橋區****,02-2*****,否,,,,,,,
55,賴清德,113年總統、副總統選舉,首次申報,1120601,宣傳支出,巨勳廣告工程有限公司,27397715,0.00,119000.00,,,,製作宣傳廣告費用,金錢,新北市板橋區****,02-2*****,否,,,,,,,
56,賴清德,113年總統、副總統選舉,首次申報,1120601,雜支支出,飯盒子便當,73228566,0.00,1320.00,,,,餐飲費用,金錢,,,否,,,,,,,
57,賴清德,113年總統、副總統選舉,首次申報,1120601,宣傳支出,威信廣告企業社,88987592,0.00,35406.00,,,,宣傳廣告費用,金錢,臺南市歸仁區****,06-3*****,否,,,,,,,
58,賴清德,113年總統、副總統選舉,首次申報,1120602,交通旅運支出,計程車,,0.00,200.00,,,,車資,金錢,,02-2*****,否,,,,,,,
59,賴清德,113年總統、副總統選舉,首次申報,1120602,交通旅運支出,計程車,,0.00,90.00,,,,車資,金錢,,02-2*****,否,,,,,,,
60,賴清德,113年總統、副總統選舉,首次申報,1120602,交通旅運支出,計程車,,0.00,95.00,,,,車資,金錢,,02-2*****,否,,,,,,,
61,賴清德,113年總統、副總統選舉,首次申報,1120602,雜支支出,臺北自來水事業處,03774909,0.00,152.00,,,,月水費（台北市中正區北平東路號之）,金錢,,,否,,,,,,,
62,賴清德,113年總統、副總統選舉,首次申報,1120602,雜支支出,臺北自來水事業處,03774909,0.00,263.00,,,,月水費（台北市中正區北平東路號之）,金錢,,,否,,,,,,,
63,賴清德,113年總統、副總統選舉,首次申報,1120602,雜支支出,台灣電力股份有限公司,03795904,0.00,768.00,,,,電費,金錢,臺北市中正區****,,否,,,,,,,
64,賴清德,113年總統、副總統選舉,首次申報,1120602,雜支支出,台灣電力股份有限公司,03795904,0.00,810.00,,,,電費,金錢,臺北市中正區****,,否,,,,,,,
65,賴清德,113年總統、副總統選舉,首次申報,1120602,交通旅運支出,台灣高鐵,16446274,0.00,790.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
66,賴清德,113年總統、副總統選舉,首次申報,1120602,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
67,賴清德,113年總統、副總統選舉,首次申報,1120602,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
68,賴清德,113年總統、副總統選舉,首次申報,1120602,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
69,賴清德,113年總統、副總統選舉,首次申報,1120603,交通旅運支出,計程車,,0.00,455.00,,,,車資,金錢,,02-2*****,否,,,,,,,
70,賴清德,113年總統、副總統選舉,首次申報,1120603,交通旅運支出,計程車,,0.00,730.00,,,,車資,金錢,,02-2*****,否,,,,,,,
71,賴清德,113年總統、副總統選舉,首次申報,1120603,交通旅運支出,計程車,,0.00,160.00,,,,車資,金錢,,02-2*****,否,,,,,,,
72,賴清德,113年總統、副總統選舉,首次申報,1120603,交通旅運支出,台灣高鐵,16446274,0.00,675.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
73,賴清德,113年總統、副總統選舉,首次申報,1120603,交通旅運支出,台灣高鐵,16446274,0.00,700.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
74,賴清德,113年總統、副總統選舉,首次申報,1120603,交通旅運支出,台灣高鐵,16446274,0.00,1120.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
75,賴清德,113年總統、副總統選舉,首次申報,1120603,交通旅運支出,台灣高鐵,16446274,0.00,1120.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
76,賴清德,113年總統、副總統選舉,首次申報,1120604,交通旅運支出,計程車,,0.00,215.00,,,,車資,金錢,,02-2*****,否,,,,,,,
77,賴清德,113年總統、副總統選舉,首次申報,1120604,交通旅運支出,台灣高鐵,16446274,0.00,675.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
78,賴清德,113年總統、副總統選舉,首次申報,1120604,交通旅運支出,台灣高鐵,16446274,0.00,400.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
79,賴清德,113年總統、副總統選舉,首次申報,1120604,交通旅運支出,台灣高鐵,16446274,0.00,385.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
80,賴清德,113年總統、副總統選舉,首次申報,1120604,交通旅運支出,啟泰計程車行,61301605,0.00,100.00,,,,車資,金錢,,,否,,,,,,,
81,賴清德,113年總統、副總統選舉,首次申報,1120605,交通旅運支出,計程車,,0.00,155.00,,,,車資,金錢,,02-2*****,否,,,,,,,
82,賴清德,113年總統、副總統選舉,首次申報,1120605,交通旅運支出,計程車,,0.00,145.00,,,,車資,金錢,,02-2*****,否,,,,,,,
83,賴清德,113年總統、副總統選舉,首次申報,1120605,雜支支出,德泰商行,42557438,0.00,853.00,,,,餐飲費用,金錢,,,否,,,,,,,
84,賴清德,113年總統、副總統選舉,首次申報,1120605,雜支支出,百八魚場餐飲股份有限公司忠孝分公司,54345516,0.00,2870.00,,,,餐飲費用,金錢,,,否,,,,,,,
85,賴清德,113年總統、副總統選舉,首次申報,1120606,雜支支出,中華郵政股份有限公司,03741302,0.00,40.00,,,,匯費,金錢,臺北市大安區****,,否,,,,,,,
86,賴清德,113年總統、副總統選舉,首次申報,1120606,雜支支出,享樂光學股份有限公司,24474421,0.00,2920.00,,,,其他費用,金錢,,,否,,,,,,,
87,賴清德,113年總統、副總統選舉,首次申報,1120607,雜支支出,網路家庭國際資訊股份有限公司,16606102,0.00,2961.00,,,,其他費用,金錢,臺北市大安區****,,否,,,,,,,
88,賴清德,113年總統、副總統選舉,首次申報,1120607,雜支支出,萬和行承德營業所,25688792,0.00,126.00,,,,其他支出,金錢,,,否,,,,,,,
89,賴清德,113年總統、副總統選舉,首次申報,1120607,雜支支出,新店郵局,38202701,0.00,25480.00,,,,郵票.郵資,金錢,,,否,,,,,,,
90,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,計程車,,0.00,290.00,,,,車資,金錢,,02-2*****,否,,,,,,,
91,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,計程車,,0.00,125.00,,,,車資,金錢,,02-2*****,否,,,,,,,
92,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
93,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
94,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
95,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
96,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
97,賴清德,113年總統、副總統選舉,首次申報,1120608,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
98,賴清德,113年總統、副總統選舉,首次申報,1120608,雜支支出,國泰商旅股份有限公司,54180916,0.00,660.00,,,,餐飲費用,金錢,,,否,,,,,,,
99,賴清德,113年總統、副總統選舉,首次申報,1120609,交通旅運支出,計程車,,0.00,150.00,,,,車資,金錢,,02-2*****,否,,,,,,,
100,賴清德,113年總統、副總統選舉,首次申報,1120609,交通旅運支出,台灣高鐵,16446274,0.00,675.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
101,賴清德,113年總統、副總統選舉,首次申報,1120609,交通旅運支出,台灣高鐵,16446274,0.00,725.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
102,賴清德,113年總統、副總統選舉,首次申報,1120609,雜支支出,萬和行承德營業所,25688792,0.00,148.00,,,,其他支出,金錢,,,否,,,,,,,
103,賴清德,113年總統、副總統選舉,首次申報,1120609,雜支支出,台灣樂天市場股份有限公司,28847204,0.00,3495.00,,,,其他費用,金錢,,,否,,,,,,,
104,賴清德,113年總統、副總統選舉,首次申報,1120609,雜支支出,中華郵政股份有限公司台南東寧路郵局,69699522,0.00,64.00,,,,配送費,金錢,臺南市東區東****,,否,,,,,,,
105,賴清德,113年總統、副總統選舉,首次申報,1120610,交通旅運支出,計程車,,0.00,315.00,,,,車資,金錢,,02-2*****,否,,,,,,,
106,賴清德,113年總統、副總統選舉,首次申報,1120610,交通旅運支出,計程車,,0.00,170.00,,,,車資,金錢,,02-2*****,否,,,,,,,
107,賴清德,113年總統、副總統選舉,首次申報,1120610,交通旅運支出,台灣鐵路管理局,07524729,0.00,89.00,,,,車資,金錢,臺北市中正區****,,否,,,,,,,
108,賴清德,113年總統、副總統選舉,首次申報,1120610,交通旅運支出,臺灣高鐵,16446274,0.00,160.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
109,賴清德,113年總統、副總統選舉,首次申報,1120610,交通旅運支出,臺灣高鐵,16446274,0.00,160.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
110,賴清德,113年總統、副總統選舉,首次申報,1120611,交通旅運支出,計程車,,0.00,205.00,,,,車資,金錢,,02-2*****,否,,,,,,,
111,賴清德,113年總統、副總統選舉,首次申報,1120611,交通旅運支出,台灣高鐵,16446274,0.00,1190.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
112,賴清德,113年總統、副總統選舉,首次申報,1120612,交通旅運支出,計程車,,0.00,375.00,,,,車資,金錢,,02-2*****,否,,,,,,,
113,賴清德,113年總統、副總統選舉,首次申報,1120612,交通旅運支出,計程車,,0.00,415.00,,,,車資,金錢,,02-2*****,否,,,,,,,
114,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,全聯實業股份有限公司樹林樹德分公司,24805549,0.00,19.00,,,,其他費用,金錢,,,否,,,,,,,
115,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,德泰商行,42557438,0.00,883.00,,,,餐飲費用,金錢,,,否,,,,,,,
116,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,亞杜廚房簡餐店,48879506,0.00,1880.00,,,,餐飲費用,金錢,,,否,,,,,,,
117,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,橙澄有限公司,83177165,0.00,1000.00,,,,其他費用,金錢,台北市內湖區****,,否,,,,,,,
118,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,橙澄有限公司,83177165,0.00,1000.00,,,,其他費用,金錢,台北市內湖區****,,否,,,,,,,
119,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,橙澄有限公司,83177165,0.00,21735.00,,,,其他費用,金錢,台北市內湖區****,,否,,,,,,,
120,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,橙澄有限公司,83177165,0.00,5000.00,,,,其他費用,金錢,台北市內湖區****,,否,,,,,,,
121,賴清德,113年總統、副總統選舉,首次申報,1120612,雜支支出,橙澄有限公司,83177165,0.00,6300.00,,,,其他費用,金錢,台北市內湖區****,,否,,,,,,,
122,賴清德,113年總統、副總統選舉,首次申報,1120613,交通旅運支出,計程車,,0.00,410.00,,,,車資,金錢,,02-2*****,否,,,,,,,
123,賴清德,113年總統、副總統選舉,首次申報,1120613,交通旅運支出,計程車,,0.00,205.00,,,,車資,金錢,,02-2*****,否,,,,,,,
124,賴清德,113年總統、副總統選舉,首次申報,1120613,雜支支出,中華郵政股份有限公司,03741302,0.00,60.00,,,,匯費,金錢,臺北市大安區****,,否,,,,,,,
125,賴清德,113年總統、副總統選舉,首次申報,1120613,宣傳支出,晶典廣告社,10880948,0.00,1980.00,,,,製作宣傳廣告費用,金錢,臺南市北區大****,,否,,,,,,,
126,賴清德,113年總統、副總統選舉,首次申報,1120613,租用競選辦事處支出,僑巨資訊企業股份有限公司,12217932,0.00,800.00,,,,租買辦公設備費用,金錢,臺北市新生北****,,否,,,,,,,
127,賴清德,113年總統、副總統選舉,首次申報,1120614,交通旅運支出,計程車,,0.00,670.00,,,,車資,金錢,,02-2*****,否,,,,,,,
128,賴清德,113年總統、副總統選舉,首次申報,1120614,交通旅運支出,計程車,,0.00,290.00,,,,車資,金錢,,02-2*****,否,,,,,,,
129,賴清德,113年總統、副總統選舉,首次申報,1120614,交通旅運支出,計程車,,0.00,280.00,,,,車資,金錢,,02-2*****,否,,,,,,,
130,賴清德,113年總統、副總統選舉,首次申報,1120614,交通旅運支出,計程車,,0.00,115.00,,,,車資,金錢,,02-2*****,否,,,,,,,
131,賴清德,113年總統、副總統選舉,首次申報,1120614,交通旅運支出,計程車,,0.00,130.00,,,,車資,金錢,,02-2*****,否,,,,,,,
132,賴清德,113年總統、副總統選舉,首次申報,1120614,雜支支出,滬寧小館,25576895,0.00,42210.00,,,,餐飲費用,金錢,臺北市中山區****,02-2*****,否,,,,,,,
133,賴清德,113年總統、副總統選舉,首次申報,1120614,雜支支出,富通商店,78370696,0.00,710.00,,,,餐飲費用,金錢,,,否,,,,,,,
134,賴清德,113年總統、副總統選舉,首次申報,1120614,雜支支出,姚氏餐飲有限公司,90231869,0.00,2510.00,,,,餐飲費用,金錢,,,否,,,,,,,
135,賴清德,113年總統、副總統選舉,首次申報,1120614,雜支支出,湛陽商行,91700235,0.00,945.00,,,,餐飲費用,金錢,,,否,,,,,,,
136,賴清德,113年總統、副總統選舉,首次申報,1120614,宣傳支出,寶福有線電視股份有限公司,96978934,0.00,108000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,台北市長沙街****,02-2*****,否,,,,,,,
137,賴清德,113年總統、副總統選舉,首次申報,1120614,雜支支出,寶福有線電視股份有限公司,96978934,0.00,12500.00,,,,其他支出,金錢,台北市長沙街****,,否,,,,,,,
138,賴清德,113年總統、副總統選舉,首次申報,1120615,交通旅運支出,計程車,,0.00,975.00,,,,車資,金錢,,02-2*****,否,,,,,,,
139,賴清德,113年總統、副總統選舉,首次申報,1120615,交通旅運支出,計程車,,0.00,990.00,,,,車資,金錢,,02-2*****,否,,,,,,,
140,賴清德,113年總統、副總統選舉,首次申報,1120615,交通旅運支出,台灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
141,賴清德,113年總統、副總統選舉,首次申報,1120615,交通旅運支出,台灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
142,賴清德,113年總統、副總統選舉,首次申報,1120615,交通旅運支出,台灣高鐵,16446274,0.00,675.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
143,賴清德,113年總統、副總統選舉,首次申報,1120615,交通旅運支出,台灣高鐵,16446274,0.00,700.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
144,賴清德,113年總統、副總統選舉,首次申報,1120615,雜支支出,阡品小吃店,21752842,0.00,90.00,,,,餐飲費用,金錢,臺北市中正區****,,否,,,,,,,
145,賴清德,113年總統、副總統選舉,首次申報,1120615,租用競選辦事處支出,輝麟科技有限公司,25015326,0.00,94500.00,,,,電腦設備（第三批第二期）,金錢,臺北市中正區****,02-2*****,否,,,,,,,
146,賴清德,113年總統、副總統選舉,首次申報,1120615,租用競選辦事處支出,輝麟科技有限公司,25015326,0.00,15750.00,,,,電腦設備（第二批第二期）,金錢,臺北市中正區****,,否,,,,,,,
147,賴清德,113年總統、副總統選舉,首次申報,1120615,雜支支出,日勝昌商行,31715993,0.00,35.00,,,,其他費用,金錢,,,否,,,,,,,
148,賴清德,113年總統、副總統選舉,首次申報,1120615,雜支支出,統一超商股份有限公司台北市第二二九分公司,53012167,0.00,56.00,,,,餐飲費用,金錢,,,否,,,,,,,
149,賴清德,113年總統、副總統選舉,首次申報,1120615,宣傳支出,長運國際有限公司,80243227,0.00,3360.00,,,,輸出,金錢,台北市中正區****,,否,,,,,,,
150,賴清德,113年總統、副總統選舉,首次申報,1120615,雜支支出,長運國際有限公司,80243227,0.00,3465.00,,,,其他費用,金錢,台北市中正區****,,否,,,,,,,
151,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,計程車,,0.00,235.00,,,,車資,金錢,,02-2*****,否,,,,,,,
152,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,計程車,,0.00,450.00,,,,車資,金錢,,02-2*****,否,,,,,,,
153,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,計程車,,0.00,460.00,,,,車資,金錢,,02-2*****,否,,,,,,,
154,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,台灣鐵路管理局,07524729,0.00,440.00,,,,車資,金錢,臺北市中正區****,,否,,,,,,,
155,賴清德,113年總統、副總統選舉,首次申報,1120616,雜支支出,洋美環境維護股份有限公司,12895192,0.00,30450.00,,,,月清潔服務費,金錢,台北市八德路****,02-2*****,否,,,,,,,
156,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,台灣高鐵,16446274,0.00,3375.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
157,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
158,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車資,金錢,臺北市南港區****,,否,,,,,,,
159,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
160,賴清德,113年總統、副總統選舉,首次申報,1120616,交通旅運支出,台灣高鐵,16446274,0.00,1350.00,,,,車票,金錢,臺北市南港區****,,否,,,,,,,
